STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/08,14.54,0.05,0.8,27,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/08,10.51,0,0,20,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/08,11.63,0,0,23,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/08,14.76,0,0,36,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/08,13.87,0,0,43,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/08,13.2,0.01,0,60,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/08,15.21,0.03,0,65,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/08,13.65,0.66,0,56,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/08,8.5,0,0,39,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/08,9.17,0.3,0,44,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/08,10.51,0.01,0,36,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/08,7.38,0,0,41,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/08,11.41,0,0,37,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/08,12.97,0.02,0.6,27,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/08,7.61,0,0,26,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/08,12.3,0,0,40,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/08,14.99,0.08,0.2,33,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/08,12.75,0,0.1,27,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/08,13.2,0,0,6,-3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/08,9.62,0,0,10,-5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/08,7.38,0.1,1.3,27,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/08,13.87,0.08,1.8,29,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/08,7.16,0.04,0.7,14,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/08,9.84,0,0,10,-4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/08,7.61,0.03,0.6,20,-5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/08,10.51,0.05,0.9,32,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/08,5.14,0,0,35,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/08,19.91,0.02,0,44,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/08,19.46,0.2,1.8,48,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/08,13.42,0,0,12,-2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/08,9.4,0.25,3.9,26,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/08,10.29,0.14,3.5,30,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/08,7.83,0,0,30,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/08,7.83,0.16,3.1,32,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/08,7.38,0.33,0,44,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/08,12.75,0.18,0.1,40,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/08,19.01,0.54,4.5,34,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/08,6.71,0,0,27,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/08,8.28,0.07,0.4,38,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/08,15.21,0,0.1,36,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/08,20.13,0,0,16,-4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/08,5.82,0,0.4,15,-3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/08,10.07,0.13,2.5,22,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/13/08,7.83,0,0,21,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/14/08,11.86,0,0,34,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/15/08,8.72,0,0,24,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/16/08,6.49,0.01,0,33,5
